graph-set-id,exonym,endonym,scriptsource,wikipedia,omniglot,endangeredalphabets,unicodeproposal
*Baga-999,Bagam ∞ Eghap ∞ Mengaka,Eghap,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Qabh,https://en.wikipedia.org/wiki/Bagam_script,,,https://www.unicode.org/L2/L2012/12229-n4293-bagam.pdf
Bali-360,Balinese ∞ balinais,ᬪᬵᬱᬩᬮᬶ ∞ ᬅᬓ᭄ᬱᬭᬩᬮᬶ ∞ ᬅᬓ᭄ᬱᬭ,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Bali,https://en.wikipedia.org/wiki/Balinese_script,https://www.omniglot.com/writing/balinese.htm,,https://www.unicode.org/L2/L2005/05008-n2908-balinese.pdf
*Bala-998,Balti-A ∞ Balti A,Balti ∞ སྦལ་ཏི། ∞ بلتی,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Qaab,,https://omniglot.com/writing/baltia.htm,https://www.endangeredalphabets.net/balti/,https://www.unicode.org/L2/L2010/10231-n3842-balti.pdf
*Balb-998,Balti-B ∞ Balti B,Shigar Lipi,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Qa63,,https://omniglot.com/writing/baltib.htm,https://www.endangeredalphabets.net/balti/,https://www.unicode.org/L2/L2011/11103-balti-b.pdf
Bamu-435,Bamum ∞ bamoum,ꚠꚡꚢꚣ ∞ ꚢ𖠤ꚴ𖠏 ∞ Mfemfe,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Bamu,https://en.wikipedia.org/wiki/Bamum_script,https://omniglot.com/writing/bamumsyllabary.htm,,https://www.unicode.org/L2/L2008/08350-n3522-bamum.pdf
Bass-259,Bassa Vah ∞ bassa,𖫔𖫧𖫱𖫒𖫨𖫴 𖫣𖫧𖫱 ∞ 𖫢𖫧𖫳𖫒𖫨𖫰𖫨𖫱 ∞ 𖫞𖫫𖫐𖫭,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Bass,https://en.wikipedia.org/wiki/Bassa_Vah_alphabet,https://www.omniglot.com/writing/bassavah.htm,,https://www.unicode.org/L2/L2010/10382r-n3941r-bassavah.pdf
Batk-365,Batak ∞ batak,ᯅᯖᯂ᯲ ∞ ᯘᯮᯒᯖ᯲ ᯅᯖᯂ᯲ ∞ ᯘᯮᯂᯮᯖᯉ᯲ ∞ Surat Batak ∞ Surat na Sampulu Sia,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Batk,https://en.wikipedia.org/wiki/Batak_script,https://www.omniglot.com/writing/batak.htm,,https://www.unicode.org/L2/L2008/08011r-n3320r-batak.pdf
Beng-325,Bengali ∞ bengalî ∞ Oxomiya,বাংলা-অসমীয়া ∞ সমতন ∞ Bangla ∞ Asamiya ∞ Assamese,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Beng,https://en.wikipedia.org/wiki/Bengali%E2%80%93Assamese_script,https://omniglot.com/writing/bengali.htm,,https://www.unicode.org/L2/L2019/19079-bangla-letters.pdf
*Beri-998,Beria ∞ Zaghawa ∞ Beria Erfe,Beria ∞ Beria Giray Erfe,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Qaaz,https://en.wikipedia.org/wiki/Zaghawa_language#Orthography,https://www.omniglot.com/writing/beria.htm,,https://www.unicode.org/L2/L2024/24004r-zaghawa-proposal.pdf
*Bete-998,Bete ∞ Daloa,Bété,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Qa00,https://en.wikipedia.org/wiki/B%C3%A9t%C3%A9_syllabary,https://omniglot.com/writing/betedaloa.htm,,https://www.unicode.org/L2/L2019/19044-bete-script.pdf
